Level 1,Level 2,Level 3,Level 4,Course
,Introduction to Data Science,Web Mining,Natural Language Processing,Data Science
,Human Computer Interaction,Advanced Statistics for Data Science,Neural Networks,Data Science
,Data Programming with R,Data Warehousing & Data Mining,Big Data Programming,Data Science
,Statistics for Data Science,Data Visualization,DS Honors Award Project,Data Science
,Introduction to Software Engineering,Advanced database Management Systems,Urban Computing,Data Science
,Development of Enterprise Applications I,Information Assurance and Security,Artificial Intelligence,Data Science
,System Fundamentals,Internship,Data Science Trends and Applications,Data Science
,Algorithms and Complexity,Cloud Computing,Deep Learning,Data Science
,Data Science in Python,Machine Learning,Parallel and Distributed Computing,Data Science
,Ethics in Data Science,Mobile Application Development,Internet of Things,Data Science
,,Big Data Analytics,Development of Enterprise Applications II,Data Science
,Computer Networks,Internship,,Computer Science
,Systems Analysis and Design,Information Assurance and Security,,Computer Science
,Statistics for Computing,Social Issues and Professional Practice,,Computer Science
,Development of Enterprise Applications I,Wireless Technologies and Network Programming,,Computer Science
,Human-Computer Interaction,Advanced Mathematics for Computing,,Computer Science
,Business Processes and ERP,Computational Theory,,Computer Science
,Introduction to Software Engineering,  Programming Languages and Compiler Design,,Computer Science
,Software Architecture,Advanced Database Management Systems,,Computer Science
,Algorithms and Complexity,Cryptography,,Computer Science
,Operating Systems,Mobile Application Development,,Computer Science
,,Software Process Management,,Computer Science
,Computer Networks,Internship,SE Honours Award Project,Software Engineering
,Systems Analysis and Design,Information Assurance and Security,Platform-Based Development,Software Engineering
,Statistics for Computing,Social Issues and Professional Practice,Data Warehousing and Data Mining,Software Engineering
,Development of Enterprise Applications I,Software Verification and Validation,Internet of Things,Software Engineering
,Human-Computer Interaction,Advanced Mathematics for Computing,Business Policy and Strategy,Software Engineering
,Business Processes and ERP,Advanced Database Management Systems,Enterprise Networks,Software Engineering
, Introduction to Software Engineering,Mobile Application Development,E-Business Application Development,Software Engineering
,Software Architecture,Software Process Management,Agent-Based Systems,Software Engineering
,Algorithms and Complexity,IT Project Management,Management Information Systems,Software Engineering
,Operating Systems,,Development of Enterprise Applications II,Software Engineering
,,,Computer Graphics and Visualization,Software Engineering
,,,Artificial Intelligence,Software Engineering
,,,Parallel and Distributed Computing,Software Engineering
,,,Embedded Systems,Software Engineering
,Computer Networks,Internship,MIS Special Award Project,Management Information Systems
,Systems Analysis and Design,Information Assurance and Security,Platform-Based Development,Management Information Systems
,Statistics for Computing,Social Issues and Professional Practice,Data Warehousing and Data Mining,Management Information Systems
,Development of Enterprise Applications I,Wireless Technologies and Network Programming,Internet of Things,Management Information Systems
,Human-Computer Interaction,IT Project Management,Business Policy and Strategy,Management Information Systems
,Business Processes and ERP,IT Audit and Control,Enterprise Networks,Management Information Systems
, Introduction to Software Engineering,Advanced Database Management Systems,E-Business Application Development,Management Information Systems
,Software Architecture,Enterprise Architecture,Agent-Based Systems,Management Information Systems
,Algorithms and Complexity,Software Quality Assurance,Entrepreneurship,Management Information Systems
,Operating Systems,Mobile Application Development,Management Information Systems,Management Information Systems
,,Software Process Management,Development of Enterprise Applications II,Management Information Systems
,,,Disaster Recovery and High availability Techniques,Management Information Systems
,,,Business Analytics,Management Information Systems
,Computer Networks,Internship,CN Honours Award Project,Computer Networks
,Systems Analysis and Design,Information Assurance and Security,Platform-Based Development,Computer Networks
,Statistics for Computing,Social Issues and Professional Practice,Data Warehousing and Data Mining,Computer Networks
,Development of Enterprise Applications I,Wireless Technologies and Network Programming,Internet of Things,Computer Networks
,Human-Computer Interaction,Advanced Mathematics for Computing,Business Policy and Strategy,Computer Networks
,Network Management,IT Project Management,Enterprise Networks,Computer Networks
,Voice and Video over IP,IT Audit and Control,E-Business Application Development,Computer Networks
,Network systems configuration and administration,Enterprise Architecture,Entrepreneurship,Computer Networks
,Network Security,Advanced Routing and Switching,Management Information Systems,Computer Networks
,Operating Systems,Service provider systems and networks,Embedded Systems,Computer Networks
,,Cryptography,Disaster Recovery and High availability Techniques,Computer Networks
,,,"Intrusion Prevention, Detection & Response",Computer Networks
,,,Parallel and Distributed Computing,Computer Networks
Algorithms and Data Structures,Advanced Mathematics for AI,AI and Machine Learning,Natural Language Processing,Artificial Intelligence (Plymouth)
Database Management Systems,Algorithms for Machine Learning,Big Data Analytics,,Artificial Intelligence (Plymouth)
Fundamentals of Artificial Intelligence,Computer Vision & Image Processing,Computing Individual Project,,Artificial Intelligence (Plymouth)
Fundamentals of Data Communication and Security,Computing Group Project,Full Stack Development,,Artificial Intelligence (Plymouth)
IT Solutions Architecture,Evolutionary Computing,,,Artificial Intelligence (Plymouth)
Introduction to Computer Science,Information Management and Retrieval,,,Artificial Intelligence (Plymouth)
Mathematics for Computing,,,,Artificial Intelligence (Plymouth)
Object-Oriented Programming with C#,,,,Artificial Intelligence (Plymouth)
Personal Development and Communication Skills,,,,Artificial Intelligence (Plymouth)
Programming Fundamentals,,,,Artificial Intelligence (Plymouth)
Web and Mobile Development,,,,Artificial Intelligence (Plymouth)
,Computer Networks,Advanced Computer Networking Infrastructure,,Computer Security
,Computing Group Project,Computing Project,,Computer Security
,Information Management and Retrieval,Ethical Hacking,,Computer Security
,Introduction to IOT,Multimedia Over IP,,Computer Security
,Security Architecture and Cryptography,Security Operations and Incident Management,,Computer Security
,Software Engineering 02,,,Computer Security
