Level 1,Level 2,Level 3,Level 4,Course
Introduction to Computer Science,Introduction to Data Science,Web Mining,Natural Language Processing,Data Science
Mathematics for Computing,Human Computer Interaction,Advanced Statistics for Data Science,Neural Networks,Data Science
Programming in C,Data Programming with R,Data Warehousing & Data Mining,Big Data Programming,Data Science
Database Management Systems,Statistics for Data Science,Data Visualization,DS Honors Award Project,Data Science
Professional Development,Introduction to Software Engineering,Advanced database Management Systems,Urban Computing,Data Science
Object Oriented Programming with Java,Development of Enterprise Applications I,Information Assurance and Security,Artificial Intelligence,Data Science
Algorithms and Data Structures,System Fundamentals,Internship,Data Science Trends and Applications,Data Science
Fundamentals of Computer Architecture,Algorithms and Complexity,Cloud Computing,Deep Learning,Data Science
Data Communication and Networks,Data Science in Python,Machine Learning,Parallel and Distributed Computing,Data Science
Web Based Application Development,Ethics in Data Science,Mobile Application Development,Internet of Things,Data Science
,,Big Data Analytics,Development of Enterprise Applications II,Data Science
