Level 1,Level 2,Level 3,Level 4,Course
Introduction to Computer Science,Introduction to Data Science,Web Mining,Natural Language Processing,Data Science
Mathematics for Computing,Human Computer Interaction,Advanced Statistics for Data Science,Neural Networks,Data Science
Programming in C,Data Programming with R,Data Warehousing & Data Mining,Big Data Programming,Data Science
Database Management Systems,Statistics for Data Science,Data Visualization,DS Honors Award Project,Data Science
Professional Development,Introduction to Software Engineering,Advanced database Management Systems,Urban Computing,Data Science
Object Oriented Programming with Java,Development of Enterprise Applications I,Information Assurance and Security,Artificial Intelligence,Data Science
Algorithms and Data Structures,System Fundamentals,Internship,Data Science Trends and Applications,Data Science
Fundamentals of Computer Architecture,Algorithms and Complexity,Cloud Computing,Deep Learning,Data Science
Data Communication and Networks,Data Science in Python,Machine Learning,Parallel and Distributed Computing,Data Science
Web Based Application Development,Ethics in Data Science,Mobile Application Development,Internet of Things,Data Science
,,Big Data Analytics,Development of Enterprise Applications II,Data Science
Introduction to Computer Science,Computer Networks,Internship,,Computer Science
Mathematics for Computing,Systems Analysis and Design,Information Assurance and Security,,Computer Science
Programming in C,Statistics for Computing,Social Issues and Professional Practice,,Computer Science
Professional Development,Development of Enterprise Applications I,Wireless Technologies and Network Programming,,Computer Science
Data communications and networks,Human-Computer Interaction,Advanced Mathematics for Computing,,Computer Science
Object Oriented Programming with Java,Business Processes and ERP,Computational Theory,,Computer Science
Algorithms and Data Structures,Introduction to Software Engineering,  Programming Languages and Compiler Design,,Computer Science
Computer Architecture,Software Architecture,Advanced Database Management Systems,,Computer Science
Database Management Systems,Algorithms and Complexity,Cryptography,,Computer Science
Web Based Application Development,Operating Systems,Mobile Application Development,,Computer Science
,,Software Process Management,,Computer Science
Introduction to Computer Science,Computer Networks,Internship,SE Honours Award Project,Software Engineering
Mathematics for Computing,Systems Analysis and Design,Information Assurance and Security,Platform-Based Development,Software Engineering
Programming in C,Statistics for Computing,Social Issues and Professional Practice,Data Warehousing and Data Mining,Software Engineering
Professional Development,Development of Enterprise Applications I,Software Verification and Validation,Internet of Things,Software Engineering
Data communications and networks,Human-Computer Interaction,Advanced Mathematics for Computing,Business Policy and Strategy,Software Engineering
Object-Oriented Programming with Java,Business Processes and ERP,Advanced Database Management Systems,Enterprise Networks,Software Engineering
Algorithms and Data structures, Introduction to Software Engineering,Mobile Application Development,E-Business Application Development,Software Engineering
Computer Architecture,Software Architecture,Software Process Management,Agent-Based Systems,Software Engineering
Database Management Systems,Algorithms and Complexity,IT Project Management,Management Information Systems,Software Engineering
Web-Based Application Development,Operating Systems,,Development of Enterprise Applications II,Software Engineering
,,,Computer Graphics and Visualization,Software Engineering
,,,Artificial Intelligence,Software Engineering
,,,Parallel and Distributed Computing,Software Engineering
,,,Embedded Systems,Software Engineering
Introduction to Computer Science,Computer Networks,Internship,MIS Special Award Project,Management Information Systems
Mathematics for Computing,Systems Analysis and Design,Information Assurance and Security,Platform-Based Development,Management Information Systems
Programming in C,Statistics for Computing,Social Issues and Professional Practice,Data Warehousing and Data Mining,Management Information Systems
Professional Development,Development of Enterprise Applications I,Wireless Technologies and Network Programming,Internet of Things,Management Information Systems
Data communications and networks,Human-Computer Interaction,IT Project Management,Business Policy and Strategy,Management Information Systems
Object-Oriented Programming with Java,Business Processes and ERP,IT Audit and Control,Enterprise Networks,Management Information Systems
Algorithms and Data structures, Introduction to Software Engineering,Advanced Database Management Systems,E-Business Application Development,Management Information Systems
Computer Architecture,Software Architecture,Enterprise Architecture,Agent-Based Systems,Management Information Systems
Database Management Systems,Algorithms and Complexity,Software Quality Assurance,Entrepreneurship,Management Information Systems
Web-Based Application Development,Operating Systems,Mobile Application Development,Management Information Systems,Management Information Systems
,,Software Process Management,Development of Enterprise Applications II,Management Information Systems
,,,Disaster Recovery and High availability Techniques,Management Information Systems
,,,Business Analytics,Management Information Systems
Introduction to Computer Science,Computer Networks,Internship,CN Honours Award Project,Computer Networks
Mathematics for Computing,Systems Analysis and Design,Information Assurance and Security,Platform-Based Development,Computer Networks
Programming in C,Statistics for Computing,Social Issues and Professional Practice,Data Warehousing and Data Mining,Computer Networks
Professional Development,Development of Enterprise Applications I,Wireless Technologies and Network Programming,Internet of Things,Computer Networks
Data communications and networks,Human-Computer Interaction,Advanced Mathematics for Computing,Business Policy and Strategy,Computer Networks
Object-Oriented Programming with Java,Network Management,IT Project Management,Enterprise Networks,Computer Networks
Algorithms and Data structures,Voice and Video over IP,IT Audit and Control,E-Business Application Development,Computer Networks
Computer Architecture,Network systems configuration and administration,Enterprise Architecture,Entrepreneurship,Computer Networks
Database Management Systems,Network Security,Advanced Routing and Switching,Management Information Systems,Computer Networks
Web-Based Application Development,Operating Systems,Service provider systems and networks,Embedded Systems,Computer Networks
,,Cryptography,Disaster Recovery and High availability Techniques,Computer Networks
,,,"Intrusion Prevention, Detection & Response",Computer Networks
,,,Parallel and Distributed Computing,Computer Networks
